spotify_id,name,artists,popularity,is_explicit,duration,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1QoyuMHNBe7lg3YW4Qtll4,St. Chroma (feat. Daniel Caesar),"Tyler, The Creator, Daniel Caesar",79,TRUE,197.019,CHROMAKOPIA,2024/10/28,0.576,0.884,0,-5.058,1,0.555,0.357,0,0.368,0.373,150.45,4
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,71,FALSE,204.828,Love Somebody,2024/10/18,0.619,0.843,5,-5.348,0,0.0284,0.00948,0.000118,0.164,0.746,122.064,4
5vNRhkKd0yEAg8suGBpjeY,APT.,"ROSÉ, Bruno Mars",95,FALSE,169.917,APT.,2024/10/18,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
2CspwnypzT7rcWI9RfsoSb,Mantra,JENNIE,75,TRUE,136.627,Mantra,2024/10/10,0.894,0.725,10,-4.984,0,0.0432,0.00434,0.0000115,0.0815,0.838,116.988,4
6KYOlIwDHbrbeBbJEtQ0Fj,オトノケ - Otonoke,Creepy Nuts,82,FALSE,185.626,オトノケ - Otonoke,2024/10/4,0.517,0.842,1,-6.905,1,0.348,0.062,0.0575,0.158,0.643,169.745,4
5skCbGGAnc7Ns18Figz54h,Bunny Girl,AKASAKI,75,FALSE,217.492,Bunny Girl,2024/10/2,0.729,0.682,5,-8.726,0,0.0593,0.00174,0,0.197,0.683,159.932,4
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",88,TRUE,256,Timeless,2024/9/27,0.769,0.722,11,-5.485,0,0.0507,0.0584,0.00000256,0.111,0.57,119.973,4
2cZOYofOX4d6g0OXxkaIjA,ALL RED,Playboi Carti,70,TRUE,148.053,ALL RED,2024/9/13,0.76,0.663,9,-4.763,0,0.0551,0.109,0,0.305,0.209,143.082,4
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,95,FALSE,157.279,Short n' Sweet,2024/8/23,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",70,TRUE,178.205,F-1 Trillion,2024/8/16,0.644,0.874,0,-4.723,1,0.0265,0.0113,0,0.227,0.753,128.017,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",100,FALSE,251.667,Die With A Smile,2024/8/16,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
3HrHhTWonBqF4mDasi8xvC,BACKBONE,"Chase & Status, Stormzy",76,TRUE,166.448,BACKBONE,2024/8/8,0.777,0.934,2,-0.959,1,0.254,0.285,0.0000386,0.275,0.637,88.009,4
3WOhcATHxK2SLNeP5W3v1v,Guess featuring Billie Eilish,"Charli xcx, Billie Eilish",87,FALSE,143.33,Guess featuring Billie Eilish,2024/8/1,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,91,FALSE,211.978,Sailor Song,2024/7/26,0.494,0.413,11,-10.432,1,0.0254,0.682,0.0000672,0.193,0.273,94.938,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,92,FALSE,170.887,MUSE,2024/7/19,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4
5ocSQW5sIUIOFojwXEz9Ki,Supernatural,NewJeans,70,FALSE,191,Supernatural,2024/6/21,0.699,0.708,10,-4.182,0,0.0496,0.185,0.00000843,0.0921,0.863,108.887,4
1AtFSBJibfaqfiOByQCwZ5,Small girl (feat. D.O.),"Lee Young Ji, D.O.",70,FALSE,189.706,16 Fantasy,2024/6/21,0.77,0.597,1,-4.901,1,0.223,0.53,0,0.239,0.875,170.022,4
580BvW3DyUNoYFgQgoD2GI,Hold On,"高爾宣 OSN, Patrick Brasca",58,FALSE,180.121,Hold On,2024/6/14,0.592,0.671,9,-5.054,1,0.0393,0.0152,0,0.318,0.207,76.037,4
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,97,TRUE,186.365,Please Please Please,2024/6/6,0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,4
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,87,TRUE,171.291,"Where I've Been, Isn't Where I'm Going",2024/5/31,0.722,0.706,9,-4.857,1,0.0292,0.072,0,0.067,0.599,80.969,4
2HYFX63wP3otVIvopRS99Z,Houdini,Eminem,87,TRUE,227.239,Houdini,2024/5/31,0.936,0.887,9,-2.76,0,0.0683,0.0292,0.00000188,0.0582,0.889,127.003,4
38tXZcL1gZRfbqfOG0VMTH,How Sweet,NewJeans,81,FALSE,219.026,How Sweet,2024/5/24,0.803,0.895,1,-2.888,1,0.0623,0.0816,0.00000567,0.154,0.757,124.994,4
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,93,FALSE,179.586,HIT ME HARD AND SOFT,2024/5/17,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,100,FALSE,210.373,HIT ME HARD AND SOFT,2024/5/17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
351KkakA2YtGEXqSEIIasy,Supernova,aespa,80,FALSE,178.88,Supernova,2024/5/13,0.744,0.747,11,-4.281,0,0.0824,0.00691,0.00000203,0.0739,0.368,120.077,4
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,97,TRUE,274.192,Not Like Us,2024/5/4,0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
77DRzu7ERs0TX3roZcre7Q,euphoria,Kendrick Lamar,87,TRUE,383.639,euphoria,2024/4/30,0.831,0.643,1,-5.002,1,0.11,0.046,0,0.084,0.142,139.948,4
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,Tommy Richman,3,FALSE,155.151,MILLION DOLLAR BABY,2024/4/26,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,4
